variable,i_or_e
cb:lndu:technical_cost:all_secondary_forests:X,Internal
cb:lsmm:fuel_cost:waste_to_energy_value:X,Internal
cb:lsmm:technical_cost:manure_management,Internal
cb:lvst:lvst_value:livestock_produced:buffalo,Internal
cb:lvst:lvst_value:livestock_produced:cattle_dairy,Internal
cb:lvst:lvst_value:livestock_produced:cattle_nondairy,Internal
cb:lvst:lvst_value:livestock_produced:chickens,Internal
cb:lvst:lvst_value:livestock_produced:goats,Internal
cb:lvst:lvst_value:livestock_produced:horses,Internal
cb:lvst:lvst_value:livestock_produced:mules,Internal
cb:lvst:lvst_value:livestock_produced:pigs,Internal
cb:lvst:lvst_value:livestock_produced:sheep,Internal
cb:lvst:technical_cost:ent_ferm_mgmt:Xpop_lvst_buffalo,Internal
cb:lvst:technical_cost:ent_ferm_mgmt:Xpop_lvst_cattle_dairy,Internal
cb:lvst:technical_cost:ent_ferm_mgmt:Xpop_lvst_cattle_nondairy,Internal
cb:lvst:technical_cost:ent_ferm_mgmt:Xpop_lvst_goats,Internal
cb:lvst:technical_cost:ent_ferm_mgmt:Xpop_lvst_sheep,Internal
cb:lvst:technical_cost:increase_productivity:X,Internal
cb:pflo:consumer_savings:better_diets:X,External
cb:pflo:human_health:better_diets:X,External
cb:scoe:sector_specific:fuel_cost:X,Internal
cb:scoe:technical_cost:efficiency:appliance,Internal
cb:scoe:technical_cost:efficiency:building_shell,Internal
cb:scoe:technical_cost:fuel_switch:heat_pumps,Internal
cb:scoe:technical_savings:fuel_switch:heat_pumps,Internal
cb:soil:land_pollution:N_leaching:fertilizer,External
cb:soil:technical_cost:agriculture_inputs:fertilizer,Internal
cb:trns:air_pollution:X:biofuels,External
cb:trns:air_pollution:X:diesel,External
cb:trns:air_pollution:X:gasoline,External
cb:trns:congestion:X:biofuels,External
cb:trns:congestion:X:diesel,External
cb:trns:congestion:X:electricity,External
cb:trns:congestion:X:gasoline,External
cb:trns:road_safety:X:biofuels,External
cb:trns:road_safety:X:diesel,External
cb:trns:road_safety:X:electricity,External
cb:trns:road_safety:X:gasoline,External
cb:trns:sector_specific:fuel_cost:X,Internal
cb:trns:system_cost:freight_transport:aviation,Internal
cb:trns:system_cost:freight_transport:rail,Internal
cb:trns:system_cost:freight_transport:road_heavy,Internal
cb:trns:system_cost:freight_transport:water_borne,Internal
cb:trns:system_cost:passenger_transport:aviation,Internal
cb:trns:system_cost:passenger_transport:powered_bikes,Internal
cb:trns:system_cost:passenger_transport:public,Internal
cb:trns:system_cost:passenger_transport:rail_passenger,Internal
cb:trns:system_cost:passenger_transport:road_heavy_regional,Internal
cb:trns:system_cost:passenger_transport:road_light,Internal
cb:trns:technical_cost:efficiency:all,Internal
cb:trns:technical_cost:electrification:hdv_charger,Internal
cb:trns:technical_cost:electrification:hdv_vehicles,Internal
cb:trns:technical_cost:electrification:LDV,Internal
cb:trns:technical_cost:electrification:rail,Internal
cb:trns:technical_cost:fuel_switch:maritime,Internal
cb:trns:technical_savings:electrification:hdv_vehicles,Internal
cb:trns:technical_savings:electrification:LDV,Internal
cb:trns:technical_savings:electrification:rail,Internal
cb:trww:fuel_cost:waste_to_energy_value:X,Internal
cb:trww:technical_cost:waste_to_energy:X,Internal
cb:trww:technical_cost:wastewater_treatment:primary,Internal
cb:trww:technical_cost:wastewater_treatment:secondary_aerobic,Internal
cb:trww:technical_cost:wastewater_treatment:secondary_anaerobic,Internal
cb:trww:technical_cost:wastewater_treatment:tertiary_aerobic,Internal
cb:trww:technical_cost:wastewater_treatment:tertiary_anaerobic,Internal
cb:trww:technical_cost:wastewater_treatment:untreated_with_sewerage,Internal
cb:trww:water_pollution:wastewater_treatment:BOD,External
cb:trww:water_pollution:wastewater_treatment:COD,External
cb:trww:water_pollution:wastewater_treatment:N,External
cb:trww:water_pollution:wastewater_treatment:P,External
cb:wali:human_health:safe_sanitation:X,External
cb:wali:technical_cost:sanitation:imp_rural,Internal
cb:wali:technical_cost:sanitation:imp_urban,Internal
cb:wali:technical_cost:sanitation:omit_rural,Internal
cb:wali:technical_cost:sanitation:safeman_rural,Internal
cb:wali:technical_cost:sanitation:safeman_urban,Internal
cb:wali:technical_cost:sanitation:unimp_rural,Internal
cb:wali:technical_cost:sanitation:unimp_urban,Internal
cb:waso:consumer_savings:consumer_food_waste:X,External
cb:waso:env_pollution:open_dumping:X,External
cb:waso:fuel_cost:waste_to_energy_value:anaerobic,Internal
cb:waso:fuel_cost:waste_to_energy_value:landfill,Internal
cb:waso:technical_cost:consumer_food_waste:X,Internal
cb:waso:technical_cost:waste_collection:biogas,Internal
cb:waso:technical_cost:waste_collection:compost,Internal
cb:waso:technical_cost:waste_collection:incinerated,Internal
cb:waso:technical_cost:waste_collection:landfilled,Internal
cb:waso:technical_cost:waste_collection:open_dump,Internal
cb:waso:technical_cost:waste_collection:recycled,Internal
cb:waso:technical_cost:waste_management:biogas,Internal
cb:waso:technical_cost:waste_management:compost,Internal
cb:waso:technical_cost:waste_management:incinerated,Internal
cb:waso:technical_cost:waste_management:landfilled,Internal
cb:waso:technical_cost:waste_management:open_dump,Internal
cb:waso:technical_cost:waste_management:recycled,Internal
cb:waso:technical_cost:waste_to_energy:anaerobic,Internal
cb:waso:technical_cost:waste_to_energy:incineration,Internal
cb:waso:technical_cost:waste_to_energy:landfill,Internal
