"","region","time_period","strategy_id","difference_variable","difference_value","variable","value"
"62","chile",31,3023,"diff_energy_consumption_scoe_total",-273.44977763996,"technical_cost",-273.44977763996
"63","chile",32,3023,"diff_energy_consumption_scoe_total",-292.391986871105,"technical_cost",-292.391986871105
"64","chile",33,3023,"diff_energy_consumption_scoe_total",-311.963561322996,"technical_cost",-311.963561322996
"65","chile",34,3023,"diff_energy_consumption_scoe_total",-332.177749298769,"technical_cost",-332.177749298769
"66","chile",35,3023,"diff_energy_consumption_scoe_total",-353.048144213175,"technical_cost",-353.048144213175
"67","chile",4,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"68","chile",5,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"69","chile",6,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"70","chile",7,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"71","chile",8,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"72","chile",9,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"73","ecuador",0,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"74","ecuador",1,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"75","ecuador",10,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"76","ecuador",11,3023,"diff_energy_consumption_scoe_total",-5.15011707052588,"technical_cost",-5.15011707052588
"77","ecuador",12,3023,"diff_energy_consumption_scoe_total",-10.5346893250755,"technical_cost",-10.5346893250755
"78","ecuador",13,3023,"diff_energy_consumption_scoe_total",-16.1614605297046,"technical_cost",-16.1614605297046
"79","ecuador",14,3023,"diff_energy_consumption_scoe_total",-22.0376583956332,"technical_cost",-22.0376583956332
"80","ecuador",15,3023,"diff_energy_consumption_scoe_total",-28.1700800111622,"technical_cost",-28.1700800111622
"81","ecuador",16,3023,"diff_energy_consumption_scoe_total",-34.6572499205363,"technical_cost",-34.6572499205363
"82","ecuador",17,3023,"diff_energy_consumption_scoe_total",-41.4446560249925,"technical_cost",-41.4446560249925
"83","ecuador",18,3023,"diff_energy_consumption_scoe_total",-48.5386744293753,"technical_cost",-48.5386744293753
"84","ecuador",19,3023,"diff_energy_consumption_scoe_total",-55.9455489286313,"technical_cost",-55.9455489286313
"85","ecuador",2,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"86","ecuador",20,3023,"diff_energy_consumption_scoe_total",-63.671407508801,"technical_cost",-63.671407508801
"87","ecuador",21,3023,"diff_energy_consumption_scoe_total",-72.0335058868114,"technical_cost",-72.0335058868114
"88","ecuador",22,3023,"diff_energy_consumption_scoe_total",-80.7858378853529,"technical_cost",-80.7858378853529
"89","ecuador",23,3023,"diff_energy_consumption_scoe_total",-89.9353996197283,"technical_cost",-89.9353996197283
"90","ecuador",24,3023,"diff_energy_consumption_scoe_total",-99.4892712662807,"technical_cost",-99.4892712662807
"91","ecuador",25,3023,"diff_energy_consumption_scoe_total",-109.454592103478,"technical_cost",-109.454592103478
"92","ecuador",26,3023,"diff_energy_consumption_scoe_total",-120.330759863783,"technical_cost",-120.330759863783
"93","ecuador",27,3023,"diff_energy_consumption_scoe_total",-131.701017143517,"technical_cost",-131.701017143517
"94","ecuador",28,3023,"diff_energy_consumption_scoe_total",-143.574544561856,"technical_cost",-143.574544561856
"95","ecuador",29,3023,"diff_energy_consumption_scoe_total",-155.960741928287,"technical_cost",-155.960741928287
"96","ecuador",3,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"97","ecuador",30,3023,"diff_energy_consumption_scoe_total",-168.869227431488,"technical_cost",-168.869227431488
"98","ecuador",31,3023,"diff_energy_consumption_scoe_total",-183.003532356581,"technical_cost",-183.003532356581
"99","ecuador",32,3023,"diff_energy_consumption_scoe_total",-197.758864073378,"technical_cost",-197.758864073378
"100","ecuador",33,3023,"diff_energy_consumption_scoe_total",-213.14808833963,"technical_cost",-213.14808833963
"101","ecuador",34,3023,"diff_energy_consumption_scoe_total",-229.184432410882,"technical_cost",-229.184432410882
"102","ecuador",35,3023,"diff_energy_consumption_scoe_total",-245.881518849229,"technical_cost",-245.881518849229
"103","ecuador",4,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"104","ecuador",5,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"105","ecuador",6,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"106","ecuador",7,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"107","ecuador",8,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"108","ecuador",9,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"109","mexico",0,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"110","mexico",1,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"111","mexico",10,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"112","mexico",11,3023,"diff_energy_consumption_scoe_total",-38.5531127628374,"technical_cost",-38.5531127628374
"113","mexico",12,3023,"diff_energy_consumption_scoe_total",-78.4751247844499,"technical_cost",-78.4751247844499
"114","mexico",13,3023,"diff_energy_consumption_scoe_total",-119.80341989476,"technical_cost",-119.80341989476
"115","mexico",14,3023,"diff_energy_consumption_scoe_total",-162.573682288763,"technical_cost",-162.573682288763
"116","mexico",15,3023,"diff_energy_consumption_scoe_total",-206.820125023532,"technical_cost",-206.820125023532
"117","mexico",16,3023,"diff_energy_consumption_scoe_total",-252.815867069454,"technical_cost",-252.815867069454
"118","mexico",17,3023,"diff_energy_consumption_scoe_total",-300.446075665894,"technical_cost",-300.446075665894
"119","mexico",18,3023,"diff_energy_consumption_scoe_total",-349.747124342996,"technical_cost",-349.747124342996
"120","mexico",19,3023,"diff_energy_consumption_scoe_total",-400.754524496458,"technical_cost",-400.754524496458
"121","mexico",2,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"122","mexico",20,3023,"diff_energy_consumption_scoe_total",-453.503040961631,"technical_cost",-453.503040961631
"123","mexico",21,3023,"diff_energy_consumption_scoe_total",-508.513229846796,"technical_cost",-508.513229846796
"124","mexico",22,3023,"diff_energy_consumption_scoe_total",-565.441881793299,"technical_cost",-565.441881793299
"125","mexico",23,3023,"diff_energy_consumption_scoe_total",-624.327614153262,"technical_cost",-624.327614153262
"126","mexico",24,3023,"diff_energy_consumption_scoe_total",-685.208830688836,"technical_cost",-685.208830688836
"127","mexico",25,3023,"diff_energy_consumption_scoe_total",-748.123778200032,"technical_cost",-748.123778200032
"128","mexico",26,3023,"diff_energy_consumption_scoe_total",-814.437504500971,"technical_cost",-814.437504500971
"129","mexico",27,3023,"diff_energy_consumption_scoe_total",-883.068049056951,"technical_cost",-883.068049056951
"130","mexico",28,3023,"diff_energy_consumption_scoe_total",-954.061802900743,"technical_cost",-954.061802900743
"131","mexico",29,3023,"diff_energy_consumption_scoe_total",-1027.46556405047,"technical_cost",-1027.46556405047
"132","mexico",3,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"133","mexico",30,3023,"diff_energy_consumption_scoe_total",-1103.32658152882,"technical_cost",-1103.32658152882
"134","mexico",31,3023,"diff_energy_consumption_scoe_total",-1184.25588607797,"technical_cost",-1184.25588607797
"135","mexico",32,3023,"diff_energy_consumption_scoe_total",-1268.05450938299,"technical_cost",-1268.05450938299
"136","mexico",33,3023,"diff_energy_consumption_scoe_total",-1354.78377938758,"technical_cost",-1354.78377938758
"137","mexico",34,3023,"diff_energy_consumption_scoe_total",-1444.50620789876,"technical_cost",-1444.50620789876
"138","mexico",35,3023,"diff_energy_consumption_scoe_total",-1537.28547022653,"technical_cost",-1537.28547022653
"139","mexico",4,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"140","mexico",5,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"141","mexico",6,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"142","mexico",7,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"143","mexico",8,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"144","mexico",9,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"145","brazil",0,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"146","brazil",1,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"147","brazil",10,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"148","brazil",11,3025,"diff_energy_consumption_scoe_total",-47.0611883588404,"technical_cost",261660207.275152
"149","brazil",12,3025,"diff_energy_consumption_scoe_total",-95.7288401202804,"technical_cost",532252351.068759
"150","brazil",13,3025,"diff_energy_consumption_scoe_total",-146.054881615111,"technical_cost",812065141.780016
"151","brazil",14,3025,"diff_energy_consumption_scoe_total",-198.089319897716,"technical_cost",1101376618.6313
"152","brazil",15,3025,"diff_energy_consumption_scoe_total",-251.880572331514,"technical_cost",1400455982.16322
"153","brazil",16,3025,"diff_energy_consumption_scoe_total",-307.164051926126,"technical_cost",1707832128.70926
"154","brazil",17,3025,"diff_energy_consumption_scoe_total",-364.194611540909,"technical_cost",2024922040.16745
"155","brazil",18,3025,"diff_energy_consumption_scoe_total",-423.017974446837,"technical_cost",2351979937.92442
"156","brazil",19,3025,"diff_energy_consumption_scoe_total",-483.679260829942,"technical_cost",2689256690.21448
"157","brazil",2,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"158","brazil",20,3025,"diff_energy_consumption_scoe_total",-546.223143441303,"technical_cost",3037000677.53364
"159","brazil",21,3025,"diff_energy_consumption_scoe_total",-610.829555689744,"technical_cost",3396212329.63498
"160","brazil",22,3025,"diff_energy_consumption_scoe_total",-677.447837646237,"technical_cost",3766609977.31308
"161","brazil",23,3025,"diff_energy_consumption_scoe_total",-746.126328297521,"technical_cost",4148462385.33421
"162","brazil",24,3025,"diff_energy_consumption_scoe_total",-816.913556553897,"technical_cost",4542039374.43967
"163","brazil",25,3025,"diff_energy_consumption_scoe_total",-889.858370619887,"technical_cost",4947612540.64657
"164","brazil",26,3025,"diff_energy_consumption_scoe_total",-964.994519288393,"technical_cost",5365369527.24346
"165","brazil",27,3025,"diff_energy_consumption_scoe_total",-1042.40393471255,"technical_cost",5795765877.00176
"166","brazil",28,3025,"diff_energy_consumption_scoe_total",-1122.14089726358,"technical_cost",6239103388.78552
"167","brazil",29,3025,"diff_energy_consumption_scoe_total",-1204.26060996597,"technical_cost",6695688991.41077
"168","brazil",3,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"169","brazil",30,3025,"diff_energy_consumption_scoe_total",-1288.8192922321,"technical_cost",7165835264.81048
"170","brazil",31,3025,"diff_energy_consumption_scoe_total",-1375.48282163449,"technical_cost",7647684488.28776
"171","brazil",32,3025,"diff_energy_consumption_scoe_total",-1464.68676834845,"technical_cost",8143658432.01736
"172","brazil",33,3025,"diff_energy_consumption_scoe_total",-1556.4952571966,"technical_cost",8654113630.01311
"173","brazil",34,3025,"diff_energy_consumption_scoe_total",-1650.97411898297,"technical_cost",9179416101.54531
"174","brazil",35,3025,"diff_energy_consumption_scoe_total",-1748.19096854394,"technical_cost",9719941785.10433
"175","brazil",4,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"176","brazil",5,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"177","brazil",6,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"178","brazil",7,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"179","brazil",8,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"180","brazil",9,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"181","chile",0,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"182","chile",1,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"183","chile",10,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"184","chile",11,3025,"diff_energy_consumption_scoe_total",-7.63989648105007,"technical_cost",42477824.4346384
"185","chile",12,3025,"diff_energy_consumption_scoe_total",-15.6397341737948,"technical_cost",86956922.0062991
"186","chile",13,3025,"diff_energy_consumption_scoe_total",-24.0079507890587,"technical_cost",133484206.387167
"187","chile",14,3025,"diff_energy_consumption_scoe_total",-32.7526854766439,"technical_cost",182104931.25014
"188","chile",15,3025,"diff_energy_consumption_scoe_total",-41.8818484047527,"technical_cost",232863077.130425
"189","chile",16,3025,"diff_energy_consumption_scoe_total",-51.3770397477801,"technical_cost",285656340.997658
"190","chile",17,3025,"diff_energy_consumption_scoe_total",-61.2638236192599,"technical_cost",340626859.323085
"191","chile",18,3025,"diff_energy_consumption_scoe_total",-71.549938676254,"technical_cost",397817659.039972
"192","chile",19,3025,"diff_energy_consumption_scoe_total",-82.2430518259245,"technical_cost",457271368.15214
"193","chile",2,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"194","chile",20,3025,"diff_energy_consumption_scoe_total",-93.3508046654468,"technical_cost",519030473.939884
"195","chile",21,3025,"diff_energy_consumption_scoe_total",-104.974015022899,"technical_cost",583655523.527319
"196","chile",22,3025,"diff_energy_consumption_scoe_total",-117.047062634712,"technical_cost",650781668.248999
"197","chile",23,3025,"diff_energy_consumption_scoe_total",-129.578438600312,"technical_cost",720456118.617736
"198","chile",24,3025,"diff_energy_consumption_scoe_total",-142.576742828901,"technical_cost",792726690.128688
"199","chile",25,3025,"diff_energy_consumption_scoe_total",-156.050670530161,"technical_cost",867641728.147694
"200","chile",26,3025,"diff_energy_consumption_scoe_total",-170.170826335197,"technical_cost",946149794.423698
"201","chile",27,3025,"diff_energy_consumption_scoe_total",-184.809284900414,"technical_cost",1027539624.0463
"202","chile",28,3025,"diff_energy_consumption_scoe_total",-199.9762132906,"technical_cost",1111867745.89573
"203","chile",29,3025,"diff_energy_consumption_scoe_total",-215.681989631757,"technical_cost",1199191862.35257
"204","chile",3,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"205","chile",30,3025,"diff_energy_consumption_scoe_total",-231.937254601223,"technical_cost",1289571135.5828
"206","chile",31,3025,"diff_energy_consumption_scoe_total",-248.725531040695,"technical_cost",1382913952.58627
"207","chile",32,3025,"diff_energy_consumption_scoe_total",-266.08665271843,"technical_cost",1479441789.11447
"208","chile",33,3025,"diff_energy_consumption_scoe_total",-284.032898627467,"technical_cost",1579222916.36871
"209","chile",34,3025,"diff_energy_consumption_scoe_total",-302.576901431798,"technical_cost",1682327571.9608
"210","chile",35,3025,"diff_energy_consumption_scoe_total",-321.731719523028,"technical_cost",1788828360.54803
"211","chile",4,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"212","chile",5,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"213","chile",6,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"214","chile",7,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"215","chile",8,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"216","chile",9,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"217","ecuador",0,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"218","ecuador",1,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"219","ecuador",10,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"220","ecuador",11,3025,"diff_energy_consumption_scoe_total",-4.14483620951498,"technical_cost",23045289.3249033
"221","ecuador",12,3025,"diff_energy_consumption_scoe_total",-8.53608439778259,"technical_cost",47460629.2516712
"222","ecuador",13,3025,"diff_energy_consumption_scoe_total",-13.1781596676901,"technical_cost",73270567.7523569
"223","ecuador",14,3025,"diff_energy_consumption_scoe_total",-18.0754081535392,"technical_cost",100499269.333678
"224","ecuador",15,3025,"diff_energy_consumption_scoe_total",-23.2321179611864,"technical_cost",129170575.864196
"225","ecuador",16,3025,"diff_energy_consumption_scoe_total",-28.722856444533,"technical_cost",159699081.831603
"226","ecuador",17,3025,"diff_energy_consumption_scoe_total",-34.5061843626743,"technical_cost",191854385.056469
"227","ecuador",18,3025,"diff_energy_consumption_scoe_total",-40.5868836615781,"technical_cost",225663073.158374
"228","ecuador",19,3025,"diff_energy_consumption_scoe_total",-46.9697580449544,"technical_cost",261151854.729946
"229","ecuador",2,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"230","ecuador",20,3025,"diff_energy_consumption_scoe_total",-53.6596290314431,"technical_cost",298347537.414824
"231","ecuador",21,3025,"diff_energy_consumption_scoe_total",-60.9042237432558,"technical_cost",338627484.012502
"232","ecuador",22,3025,"diff_energy_consumption_scoe_total",-68.5131946505253,"technical_cost",380933362.256921
"233","ecuador",23,3025,"diff_energy_consumption_scoe_total",-76.4925470680213,"technical_cost",425298561.698198
"234","ecuador",24,3025,"diff_energy_consumption_scoe_total",-84.8484060449628,"technical_cost",471757137.609993
"235","ecuador",25,3025,"diff_energy_consumption_scoe_total",-93.5869904365181,"technical_cost",520343666.82704
"236","ecuador",26,3025,"diff_energy_consumption_scoe_total",-103.099692269248,"technical_cost",573234289.017019
"237","ecuador",27,3025,"diff_energy_consumption_scoe_total",-113.062278099978,"technical_cost",628626266.23588
"238","ecuador",28,3025,"diff_energy_consumption_scoe_total",-123.482815346374,"technical_cost",686564453.325838
"239","ecuador",29,3025,"diff_energy_consumption_scoe_total",-134.369580877597,"technical_cost",747094869.679441
"240","ecuador",3,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"241","ecuador",30,3025,"diff_energy_consumption_scoe_total",-145.731060695768,"technical_cost",810264697.468468
"242","ecuador",31,3025,"diff_energy_consumption_scoe_total",-158.119382910424,"technical_cost",879143768.981959
"243","ecuador",32,3025,"diff_energy_consumption_scoe_total",-171.062173665463,"technical_cost",951105685.579975
"244","ecuador",33,3025,"diff_energy_consumption_scoe_total",-184.570579752236,"technical_cost",1026212423.42243
"245","ecuador",34,3025,"diff_energy_consumption_scoe_total",-198.656070702897,"technical_cost",1104527753.10811
"246","ecuador",35,3025,"diff_energy_consumption_scoe_total",-213.330470997042,"technical_cost",1186117418.74355
"247","ecuador",4,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"248","ecuador",5,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"249","ecuador",6,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"250","ecuador",7,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"251","ecuador",8,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"252","ecuador",9,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"253","mexico",0,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"254","mexico",1,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"255","mexico",10,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"256","mexico",11,3025,"diff_energy_consumption_scoe_total",-34.243517505214,"technical_cost",190393957.32899
"257","mexico",12,3025,"diff_energy_consumption_scoe_total",-69.8080711034045,"technical_cost",388132875.334929
"258","mexico",13,3025,"diff_energy_consumption_scoe_total",-106.726737410243,"technical_cost",593400660.000952
"259","mexico",14,3025,"diff_energy_consumption_scoe_total",-145.031462933172,"technical_cost",806374933.908436
"260","mexico",15,3025,"diff_energy_consumption_scoe_total",-184.753246264659,"technical_cost",1027228049.2315
"261","mexico",16,3025,"diff_energy_consumption_scoe_total",-226.137115155534,"technical_cost",1257322360.26477
"262","mexico",17,3025,"diff_energy_consumption_scoe_total",-269.080061148971,"technical_cost",1496085139.98828
"263","mexico",18,3025,"diff_energy_consumption_scoe_total",-313.615484894985,"technical_cost",1743702096.01612
"264","mexico",19,3025,"diff_energy_consumption_scoe_total",-359.776356356726,"technical_cost",2000356541.3434
"265","mexico",2,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"266","mexico",20,3025,"diff_energy_consumption_scoe_total",-407.595312128729,"technical_cost",2266229935.43574
"267","mexico",21,3025,"diff_energy_consumption_scoe_total",-457.52740861618,"technical_cost",2543852391.90596
"268","mexico",22,3025,"diff_energy_consumption_scoe_total",-509.275856451772,"technical_cost",2831573761.87185
"269","mexico",23,3025,"diff_energy_consumption_scoe_total",-562.877221289066,"technical_cost",3129597350.36721
"270","mexico",24,3025,"diff_energy_consumption_scoe_total",-618.368224422403,"technical_cost",3438127327.78856
"271","mexico",25,3025,"diff_energy_consumption_scoe_total",-675.785799313639,"technical_cost",3757369044.18383
"272","mexico",26,3025,"diff_energy_consumption_scoe_total",-736.31080391359,"technical_cost",4093888069.75956
"273","mexico",27,3025,"diff_energy_consumption_scoe_total",-799.013060341452,"technical_cost",4442512615.49847
"274","mexico",28,3025,"diff_energy_consumption_scoe_total",-863.937287458275,"technical_cost",4803491318.26801
"275","mexico",29,3025,"diff_energy_consumption_scoe_total",-931.128982833616,"technical_cost",5177077144.55491
"276","mexico",3,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"277","mexico",30,3025,"diff_energy_consumption_scoe_total",-1000.63448066066,"technical_cost",5563527712.47326
"278","mexico",31,3025,"diff_energy_consumption_scoe_total",-1074.69786333085,"technical_cost",5975320120.11953
"279","mexico",32,3025,"diff_energy_consumption_scoe_total",-1151.43781677624,"technical_cost",6401994261.27591
"280","mexico",33,3025,"diff_energy_consumption_scoe_total",-1230.91388427995,"technical_cost",6843881196.59654
"281","mexico",34,3025,"diff_energy_consumption_scoe_total",-1313.18723047301,"technical_cost",7301321001.42993
"282","mexico",35,3025,"diff_energy_consumption_scoe_total",-1398.32065807468,"technical_cost",7774662858.8952
"283","mexico",4,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"284","mexico",5,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"285","mexico",6,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"286","mexico",7,3025,"diff_energy_consumption_scoe_total",0,"technical_cost",0
