"time_period","scalar_lvst_carrying_capacity","TransformationName","pij_lndu_grasslands_to_croplands","pij_lndu_grasslands_to_forests_mangroves","pij_lndu_grasslands_to_forests_primary","pij_lndu_grasslands_to_forests_secondary","pij_lndu_grasslands_to_grasslands","pij_lndu_grasslands_to_other","pij_lndu_grasslands_to_settlements","pij_lndu_grasslands_to_wetlands","pij_lndu_forests_secondary_to_grasslands","pij_lndu_forests_secondary_to_croplands","Nation"
24,1.346153846,"full",1,1,1,58.11538462,1,1,1,1,0.423653846,0.423653846,"argentina"
25,1.369230769,"full",1,1,1,61.92307692,1,1,1,1,0.385230769,0.385230769,"argentina"
26,1.392307692,"full",1,1,1,65.73076923,1,1,1,1,0.346807692,0.346807692,"argentina"
27,1.415384615,"full",1,1,1,69.53846154,1,1,1,1,0.308384615,0.308384615,"argentina"
28,1.438461538,"full",1,1,1,73.34615385,1,1,1,1,0.269961538,0.269961538,"argentina"
29,1.461538462,"full",1,1,1,77.15384615,1,1,1,1,0.231538462,0.231538462,"argentina"
30,1.484615385,"full",1,1,1,80.96153846,1,1,1,1,0.193115385,0.193115385,"argentina"
31,1.507692308,"full",1,1,1,84.76923077,1,1,1,1,0.154692308,0.154692308,"argentina"
32,1.530769231,"full",1,1,1,88.57692308,1,1,1,1,0.116269231,0.116269231,"argentina"
33,1.553846154,"full",1,1,1,92.38461538,1,1,1,1,0.077846154,0.077846154,"argentina"
34,1.576923077,"full",1,1,1,96.19230769,1,1,1,1,0.039423077,0.039423077,"argentina"
35,1.6,"full",1,1,1,100,1,1,1,1,0.001,0.001,"argentina"
0,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
1,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
2,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
3,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
4,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
5,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
6,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
7,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
8,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
9,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
10,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
11,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
12,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
13,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
14,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
15,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
16,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
17,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
18,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
19,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
20,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
21,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
22,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
23,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
24,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
25,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
26,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
27,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
28,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
29,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
30,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
31,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
32,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
33,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
34,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
35,1,"none",1,1,1,1,1,1,1,1,1,1,"bahamas"
0,1,"full",1,1,1,1,1,1,1,1,1,1,"bahamas"
1,1,"full",1,1,1,1,1,1,1,1,1,1,"bahamas"
2,1,"full",1,1,1,1,1,1,1,1,1,1,"bahamas"
3,1,"full",1,1,1,1,1,1,1,1,1,1,"bahamas"
4,1,"full",1,1,1,1,1,1,1,1,1,1,"bahamas"
5,1,"full",1,1,1,1,1,1,1,1,1,1,"bahamas"
6,1,"full",1,1,1,1,1,1,1,1,1,1,"bahamas"
7,1,"full",1,1,1,1,1,1,1,1,1,1,"bahamas"
8,1,"full",1,1,1,1,1,1,1,1,1,1,"bahamas"
9,1,"full",1,1,1,1,1,1,1,1,1,1,"bahamas"
10,1.023076923,"full",1,1,1,4.807692308,1,1,1,1,0.961576923,0.961576923,"bahamas"
11,1.046153846,"full",1,1,1,8.615384615,1,1,1,1,0.923153846,0.923153846,"bahamas"
12,1.069230769,"full",1,1,1,12.42307692,1,1,1,1,0.884730769,0.884730769,"bahamas"
13,1.092307692,"full",1,1,1,16.23076923,1,1,1,1,0.846307692,0.846307692,"bahamas"
14,1.115384615,"full",1,1,1,20.03846154,1,1,1,1,0.807884615,0.807884615,"bahamas"
15,1.138461538,"full",1,1,1,23.84615385,1,1,1,1,0.769461538,0.769461538,"bahamas"
16,1.161538462,"full",1,1,1,27.65384615,1,1,1,1,0.731038462,0.731038462,"bahamas"
17,1.184615385,"full",1,1,1,31.46153846,1,1,1,1,0.692615385,0.692615385,"bahamas"
18,1.207692308,"full",1,1,1,35.26923077,1,1,1,1,0.654192308,0.654192308,"bahamas"
19,1.230769231,"full",1,1,1,39.07692308,1,1,1,1,0.615769231,0.615769231,"bahamas"
20,1.253846154,"full",1,1,1,42.88461538,1,1,1,1,0.577346154,0.577346154,"bahamas"
21,1.276923077,"full",1,1,1,46.69230769,1,1,1,1,0.538923077,0.538923077,"bahamas"
22,1.3,"full",1,1,1,50.5,1,1,1,1,0.5005,0.5005,"bahamas"
23,1.323076923,"full",1,1,1,54.30769231,1,1,1,1,0.462076923,0.462076923,"bahamas"
24,1.346153846,"full",1,1,1,58.11538462,1,1,1,1,0.423653846,0.423653846,"bahamas"
25,1.369230769,"full",1,1,1,61.92307692,1,1,1,1,0.385230769,0.385230769,"bahamas"
26,1.392307692,"full",1,1,1,65.73076923,1,1,1,1,0.346807692,0.346807692,"bahamas"
27,1.415384615,"full",1,1,1,69.53846154,1,1,1,1,0.308384615,0.308384615,"bahamas"
28,1.438461538,"full",1,1,1,73.34615385,1,1,1,1,0.269961538,0.269961538,"bahamas"
29,1.461538462,"full",1,1,1,77.15384615,1,1,1,1,0.231538462,0.231538462,"bahamas"
30,1.484615385,"full",1,1,1,80.96153846,1,1,1,1,0.193115385,0.193115385,"bahamas"
31,1.507692308,"full",1,1,1,84.76923077,1,1,1,1,0.154692308,0.154692308,"bahamas"
32,1.530769231,"full",1,1,1,88.57692308,1,1,1,1,0.116269231,0.116269231,"bahamas"
33,1.553846154,"full",1,1,1,92.38461538,1,1,1,1,0.077846154,0.077846154,"bahamas"
34,1.576923077,"full",1,1,1,96.19230769,1,1,1,1,0.039423077,0.039423077,"bahamas"
35,1.6,"full",1,1,1,100,1,1,1,1,0.001,0.001,"bahamas"
0,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
1,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
2,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
3,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
4,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
5,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
6,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
7,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
8,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
9,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
10,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
11,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
12,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
13,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
14,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
15,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
16,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
17,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
18,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
19,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
20,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
21,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
22,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
23,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
24,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
25,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
26,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
27,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
28,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
29,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
30,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
31,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
32,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
33,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
34,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
35,1,"none",1,1,1,1,1,1,1,1,1,1,"barbados"
0,1,"full",1,1,1,1,1,1,1,1,1,1,"barbados"
1,1,"full",1,1,1,1,1,1,1,1,1,1,"barbados"
2,1,"full",1,1,1,1,1,1,1,1,1,1,"barbados"
3,1,"full",1,1,1,1,1,1,1,1,1,1,"barbados"
4,1,"full",1,1,1,1,1,1,1,1,1,1,"barbados"
5,1,"full",1,1,1,1,1,1,1,1,1,1,"barbados"
6,1,"full",1,1,1,1,1,1,1,1,1,1,"barbados"
7,1,"full",1,1,1,1,1,1,1,1,1,1,"barbados"
8,1,"full",1,1,1,1,1,1,1,1,1,1,"barbados"
9,1,"full",1,1,1,1,1,1,1,1,1,1,"barbados"
10,1.023076923,"full",1,1,1,4.807692308,1,1,1,1,0.961576923,0.961576923,"barbados"
11,1.046153846,"full",1,1,1,8.615384615,1,1,1,1,0.923153846,0.923153846,"barbados"
12,1.069230769,"full",1,1,1,12.42307692,1,1,1,1,0.884730769,0.884730769,"barbados"
13,1.092307692,"full",1,1,1,16.23076923,1,1,1,1,0.846307692,0.846307692,"barbados"
14,1.115384615,"full",1,1,1,20.03846154,1,1,1,1,0.807884615,0.807884615,"barbados"
15,1.138461538,"full",1,1,1,23.84615385,1,1,1,1,0.769461538,0.769461538,"barbados"
16,1.161538462,"full",1,1,1,27.65384615,1,1,1,1,0.731038462,0.731038462,"barbados"
17,1.184615385,"full",1,1,1,31.46153846,1,1,1,1,0.692615385,0.692615385,"barbados"
18,1.207692308,"full",1,1,1,35.26923077,1,1,1,1,0.654192308,0.654192308,"barbados"
19,1.230769231,"full",1,1,1,39.07692308,1,1,1,1,0.615769231,0.615769231,"barbados"
20,1.253846154,"full",1,1,1,42.88461538,1,1,1,1,0.577346154,0.577346154,"barbados"
21,1.276923077,"full",1,1,1,46.69230769,1,1,1,1,0.538923077,0.538923077,"barbados"
22,1.3,"full",1,1,1,50.5,1,1,1,1,0.5005,0.5005,"barbados"
23,1.323076923,"full",1,1,1,54.30769231,1,1,1,1,0.462076923,0.462076923,"barbados"
24,1.346153846,"full",1,1,1,58.11538462,1,1,1,1,0.423653846,0.423653846,"barbados"
25,1.369230769,"full",1,1,1,61.92307692,1,1,1,1,0.385230769,0.385230769,"barbados"
26,1.392307692,"full",1,1,1,65.73076923,1,1,1,1,0.346807692,0.346807692,"barbados"
27,1.415384615,"full",1,1,1,69.53846154,1,1,1,1,0.308384615,0.308384615,"barbados"
28,1.438461538,"full",1,1,1,73.34615385,1,1,1,1,0.269961538,0.269961538,"barbados"
29,1.461538462,"full",1,1,1,77.15384615,1,1,1,1,0.231538462,0.231538462,"barbados"
30,1.484615385,"full",1,1,1,80.96153846,1,1,1,1,0.193115385,0.193115385,"barbados"
31,1.507692308,"full",1,1,1,84.76923077,1,1,1,1,0.154692308,0.154692308,"barbados"
32,1.530769231,"full",1,1,1,88.57692308,1,1,1,1,0.116269231,0.116269231,"barbados"
33,1.553846154,"full",1,1,1,92.38461538,1,1,1,1,0.077846154,0.077846154,"barbados"
34,1.576923077,"full",1,1,1,96.19230769,1,1,1,1,0.039423077,0.039423077,"barbados"
35,1.6,"full",1,1,1,100,1,1,1,1,0.001,0.001,"barbados"
0,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
1,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
2,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
3,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
4,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
5,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
6,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
7,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
8,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
9,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
10,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
11,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
12,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
13,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
14,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
15,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
16,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
17,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
18,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
19,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
20,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
21,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
22,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
23,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
24,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
25,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
26,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
27,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
28,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
29,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
30,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
31,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
32,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
33,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
34,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
35,1,"none",1,1,1,1,1,1,1,1,1,1,"belize"
0,1,"full",1,1,1,1,1,1,1,1,1,1,"belize"
1,1,"full",1,1,1,1,1,1,1,1,1,1,"belize"
2,1,"full",1,1,1,1,1,1,1,1,1,1,"belize"
3,1,"full",1,1,1,1,1,1,1,1,1,1,"belize"
4,1,"full",1,1,1,1,1,1,1,1,1,1,"belize"
5,1,"full",1,1,1,1,1,1,1,1,1,1,"belize"
6,1,"full",1,1,1,1,1,1,1,1,1,1,"belize"
7,1,"full",1,1,1,1,1,1,1,1,1,1,"belize"
8,1,"full",1,1,1,1,1,1,1,1,1,1,"belize"
9,1,"full",1,1,1,1,1,1,1,1,1,1,"belize"
10,1.023076923,"full",1,1,1,4.807692308,1,1,1,1,0.961576923,0.961576923,"belize"
11,1.046153846,"full",1,1,1,8.615384615,1,1,1,1,0.923153846,0.923153846,"belize"
12,1.069230769,"full",1,1,1,12.42307692,1,1,1,1,0.884730769,0.884730769,"belize"
13,1.092307692,"full",1,1,1,16.23076923,1,1,1,1,0.846307692,0.846307692,"belize"
14,1.115384615,"full",1,1,1,20.03846154,1,1,1,1,0.807884615,0.807884615,"belize"
15,1.138461538,"full",1,1,1,23.84615385,1,1,1,1,0.769461538,0.769461538,"belize"
16,1.161538462,"full",1,1,1,27.65384615,1,1,1,1,0.731038462,0.731038462,"belize"
17,1.184615385,"full",1,1,1,31.46153846,1,1,1,1,0.692615385,0.692615385,"belize"
18,1.207692308,"full",1,1,1,35.26923077,1,1,1,1,0.654192308,0.654192308,"belize"
19,1.230769231,"full",1,1,1,39.07692308,1,1,1,1,0.615769231,0.615769231,"belize"
20,1.253846154,"full",1,1,1,42.88461538,1,1,1,1,0.577346154,0.577346154,"belize"
21,1.276923077,"full",1,1,1,46.69230769,1,1,1,1,0.538923077,0.538923077,"belize"
22,1.3,"full",1,1,1,50.5,1,1,1,1,0.5005,0.5005,"belize"
23,1.323076923,"full",1,1,1,54.30769231,1,1,1,1,0.462076923,0.462076923,"belize"
24,1.346153846,"full",1,1,1,58.11538462,1,1,1,1,0.423653846,0.423653846,"belize"
25,1.369230769,"full",1,1,1,61.92307692,1,1,1,1,0.385230769,0.385230769,"belize"
26,1.392307692,"full",1,1,1,65.73076923,1,1,1,1,0.346807692,0.346807692,"belize"
27,1.415384615,"full",1,1,1,69.53846154,1,1,1,1,0.308384615,0.308384615,"belize"
28,1.438461538,"full",1,1,1,73.34615385,1,1,1,1,0.269961538,0.269961538,"belize"
29,1.461538462,"full",1,1,1,77.15384615,1,1,1,1,0.231538462,0.231538462,"belize"
30,1.484615385,"full",1,1,1,80.96153846,1,1,1,1,0.193115385,0.193115385,"belize"
31,1.507692308,"full",1,1,1,84.76923077,1,1,1,1,0.154692308,0.154692308,"belize"
32,1.530769231,"full",1,1,1,88.57692308,1,1,1,1,0.116269231,0.116269231,"belize"
33,1.553846154,"full",1,1,1,92.38461538,1,1,1,1,0.077846154,0.077846154,"belize"
34,1.576923077,"full",1,1,1,96.19230769,1,1,1,1,0.039423077,0.039423077,"belize"
35,1.6,"full",1,1,1,100,1,1,1,1,0.001,0.001,"belize"
0,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
1,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
2,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
3,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
4,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
5,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
6,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
7,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
8,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
9,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
10,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
11,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
12,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
13,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
14,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
15,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
16,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
17,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
18,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
19,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
20,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
21,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
22,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
23,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
24,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
25,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
26,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
27,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
28,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
29,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
30,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
31,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
32,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
33,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
34,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
35,1,"none",1,1,1,1,1,1,1,1,1,1,"bolivia"
0,1,"full",1,1,1,1,1,1,1,1,1,1,"bolivia"
1,1,"full",1,1,1,1,1,1,1,1,1,1,"bolivia"
2,1,"full",1,1,1,1,1,1,1,1,1,1,"bolivia"
3,1,"full",1,1,1,1,1,1,1,1,1,1,"bolivia"
4,1,"full",1,1,1,1,1,1,1,1,1,1,"bolivia"
5,1,"full",1,1,1,1,1,1,1,1,1,1,"bolivia"
6,1,"full",1,1,1,1,1,1,1,1,1,1,"bolivia"
7,1,"full",1,1,1,1,1,1,1,1,1,1,"bolivia"
8,1,"full",1,1,1,1,1,1,1,1,1,1,"bolivia"
9,1,"full",1,1,1,1,1,1,1,1,1,1,"bolivia"
10,1.023076923,"full",1,1,1,4.807692308,1,1,1,1,0.961576923,0.961576923,"bolivia"
11,1.046153846,"full",1,1,1,8.615384615,1,1,1,1,0.923153846,0.923153846,"bolivia"
12,1.069230769,"full",1,1,1,12.42307692,1,1,1,1,0.884730769,0.884730769,"bolivia"
13,1.092307692,"full",1,1,1,16.23076923,1,1,1,1,0.846307692,0.846307692,"bolivia"
14,1.115384615,"full",1,1,1,20.03846154,1,1,1,1,0.807884615,0.807884615,"bolivia"
15,1.138461538,"full",1,1,1,23.84615385,1,1,1,1,0.769461538,0.769461538,"bolivia"
16,1.161538462,"full",1,1,1,27.65384615,1,1,1,1,0.731038462,0.731038462,"bolivia"
17,1.184615385,"full",1,1,1,31.46153846,1,1,1,1,0.692615385,0.692615385,"bolivia"
18,1.207692308,"full",1,1,1,35.26923077,1,1,1,1,0.654192308,0.654192308,"bolivia"
19,1.230769231,"full",1,1,1,39.07692308,1,1,1,1,0.615769231,0.615769231,"bolivia"
20,1.253846154,"full",1,1,1,42.88461538,1,1,1,1,0.577346154,0.577346154,"bolivia"
21,1.276923077,"full",1,1,1,46.69230769,1,1,1,1,0.538923077,0.538923077,"bolivia"
22,1.3,"full",1,1,1,50.5,1,1,1,1,0.5005,0.5005,"bolivia"
23,1.323076923,"full",1,1,1,54.30769231,1,1,1,1,0.462076923,0.462076923,"bolivia"
24,1.346153846,"full",1,1,1,58.11538462,1,1,1,1,0.423653846,0.423653846,"bolivia"
25,1.369230769,"full",1,1,1,61.92307692,1,1,1,1,0.385230769,0.385230769,"bolivia"
26,1.392307692,"full",1,1,1,65.73076923,1,1,1,1,0.346807692,0.346807692,"bolivia"
