"time_period","pij_lndu_croplands_to_croplands","pij_lndu_croplands_to_forests_secondary","TransformationName","pij_lndu_forests_secondary_to_croplands","pij_lndu_forests_secondary_to_forests_mangroves","pij_lndu_forests_secondary_to_forests_primary","pij_lndu_forests_secondary_to_forests_secondary","pij_lndu_forests_secondary_to_grasslands","pij_lndu_forests_secondary_to_other","pij_lndu_forests_secondary_to_settlements","pij_lndu_forests_secondary_to_wetlands","pij_lndu_croplands_to_grasslands","Nation"
3,1,1,"full",1,1,1,1,1,1,1,1,1,"argentina"
4,1,1,"full",1,1,1,1,1,1,1,1,1,"argentina"
5,1,1,"full",1,1,1,1,1,1,1,1,1,"argentina"
6,1,1,"full",1,1,1,1,1,1,1,1,1,"argentina"
7,1,1,"full",1,1,1,1,1,1,1,1,1,"argentina"
8,1,1,"full",1,1,1,1,1,1,1,1,1,"argentina"
9,1,1,"full",1,1,1,1,1,1,1,1,1,"argentina"
10,0.965384615,1.384615385,"full",0.961923077,1,1,1,0.961923077,0.961923077,0.961923077,1,0.961923077,"argentina"
11,0.930769231,1.769230769,"full",0.923846154,1,1,1,0.923846154,0.923846154,0.923846154,1,0.923846154,"argentina"
12,0.896153846,2.153846154,"full",0.885769231,1,1,1,0.885769231,0.885769231,0.885769231,1,0.885769231,"argentina"
13,0.861538462,2.538461538,"full",0.847692308,1,1,1,0.847692308,0.847692308,0.847692308,1,0.847692308,"argentina"
14,0.826923077,2.923076923,"full",0.809615385,1,1,1,0.809615385,0.809615385,0.809615385,1,0.809615385,"argentina"
15,0.792307692,3.307692308,"full",0.771538462,1,1,1,0.771538462,0.771538462,0.771538462,1,0.771538462,"argentina"
16,0.757692308,3.692307692,"full",0.733461538,1,1,1,0.733461538,0.733461538,0.733461538,1,0.733461538,"argentina"
17,0.723076923,4.076923077,"full",0.695384615,1,1,1,0.695384615,0.695384615,0.695384615,1,0.695384615,"argentina"
18,0.688461538,4.461538462,"full",0.657307692,1,1,1,0.657307692,0.657307692,0.657307692,1,0.657307692,"argentina"
19,0.653846154,4.846153846,"full",0.619230769,1,1,1,0.619230769,0.619230769,0.619230769,1,0.619230769,"argentina"
20,0.619230769,5.230769231,"full",0.581153846,1,1,1,0.581153846,0.581153846,0.581153846,1,0.581153846,"argentina"
21,0.584615385,5.615384615,"full",0.543076923,1,1,1,0.543076923,0.543076923,0.543076923,1,0.543076923,"argentina"
22,0.55,6,"full",0.505,1,1,1,0.505,0.505,0.505,1,0.505,"argentina"
23,0.515384615,6.384615385,"full",0.466923077,1,1,1,0.466923077,0.466923077,0.466923077,1,0.466923077,"argentina"
24,0.480769231,6.769230769,"full",0.428846154,1,1,1,0.428846154,0.428846154,0.428846154,1,0.428846154,"argentina"
25,0.446153846,7.153846154,"full",0.390769231,1,1,1,0.390769231,0.390769231,0.390769231,1,0.390769231,"argentina"
26,0.411538462,7.538461538,"full",0.352692308,1,1,1,0.352692308,0.352692308,0.352692308,1,0.352692308,"argentina"
27,0.376923077,7.923076923,"full",0.314615385,1,1,1,0.314615385,0.314615385,0.314615385,1,0.314615385,"argentina"
28,0.342307692,8.307692308,"full",0.276538462,1,1,1,0.276538462,0.276538462,0.276538462,1,0.276538462,"argentina"
29,0.307692308,8.692307692,"full",0.238461538,1,1,1,0.238461538,0.238461538,0.238461538,1,0.238461538,"argentina"
30,0.273076923,9.076923077,"full",0.200384615,1,1,1,0.200384615,0.200384615,0.200384615,1,0.200384615,"argentina"
31,0.238461538,9.461538462,"full",0.162307692,1,1,1,0.162307692,0.162307692,0.162307692,1,0.162307692,"argentina"
32,0.203846154,9.846153846,"full",0.124230769,1,1,1,0.124230769,0.124230769,0.124230769,1,0.124230769,"argentina"
33,0.169230769,10.23076923,"full",0.086153846,1,1,1,0.086153846,0.086153846,0.086153846,1,0.086153846,"argentina"
34,0.134615385,10.61538462,"full",0.048076923,1,1,1,0.048076923,0.048076923,0.048076923,1,0.048076923,"argentina"
35,0.1,11,"full",0.01,1,1,1,0.01,0.01,0.01,1,0.01,"argentina"
0,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
1,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
2,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
3,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
4,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
5,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
6,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
7,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
8,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
9,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
10,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
11,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
12,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
13,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
14,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
15,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
16,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
17,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
18,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
19,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
20,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
21,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
22,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
23,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
24,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
25,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
26,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
27,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
28,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
29,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
30,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
31,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
32,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
33,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
34,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
35,1,1,"none",1,1,1,1,1,1,1,1,1,"bahamas"
0,1,1,"full",1,1,1,1,1,1,1,1,1,"bahamas"
1,1,1,"full",1,1,1,1,1,1,1,1,1,"bahamas"
2,1,1,"full",1,1,1,1,1,1,1,1,1,"bahamas"
3,1,1,"full",1,1,1,1,1,1,1,1,1,"bahamas"
4,1,1,"full",1,1,1,1,1,1,1,1,1,"bahamas"
5,1,1,"full",1,1,1,1,1,1,1,1,1,"bahamas"
6,1,1,"full",1,1,1,1,1,1,1,1,1,"bahamas"
7,1,1,"full",1,1,1,1,1,1,1,1,1,"bahamas"
8,1,1,"full",1,1,1,1,1,1,1,1,1,"bahamas"
9,1,1,"full",1,1,1,1,1,1,1,1,1,"bahamas"
10,0.965384615,1.384615385,"full",0.961923077,1,1,1,0.961923077,0.961923077,0.961923077,1,0.961923077,"bahamas"
11,0.930769231,1.769230769,"full",0.923846154,1,1,1,0.923846154,0.923846154,0.923846154,1,0.923846154,"bahamas"
12,0.896153846,2.153846154,"full",0.885769231,1,1,1,0.885769231,0.885769231,0.885769231,1,0.885769231,"bahamas"
13,0.861538462,2.538461538,"full",0.847692308,1,1,1,0.847692308,0.847692308,0.847692308,1,0.847692308,"bahamas"
14,0.826923077,2.923076923,"full",0.809615385,1,1,1,0.809615385,0.809615385,0.809615385,1,0.809615385,"bahamas"
15,0.792307692,3.307692308,"full",0.771538462,1,1,1,0.771538462,0.771538462,0.771538462,1,0.771538462,"bahamas"
16,0.757692308,3.692307692,"full",0.733461538,1,1,1,0.733461538,0.733461538,0.733461538,1,0.733461538,"bahamas"
17,0.723076923,4.076923077,"full",0.695384615,1,1,1,0.695384615,0.695384615,0.695384615,1,0.695384615,"bahamas"
18,0.688461538,4.461538462,"full",0.657307692,1,1,1,0.657307692,0.657307692,0.657307692,1,0.657307692,"bahamas"
19,0.653846154,4.846153846,"full",0.619230769,1,1,1,0.619230769,0.619230769,0.619230769,1,0.619230769,"bahamas"
20,0.619230769,5.230769231,"full",0.581153846,1,1,1,0.581153846,0.581153846,0.581153846,1,0.581153846,"bahamas"
21,0.584615385,5.615384615,"full",0.543076923,1,1,1,0.543076923,0.543076923,0.543076923,1,0.543076923,"bahamas"
22,0.55,6,"full",0.505,1,1,1,0.505,0.505,0.505,1,0.505,"bahamas"
23,0.515384615,6.384615385,"full",0.466923077,1,1,1,0.466923077,0.466923077,0.466923077,1,0.466923077,"bahamas"
24,0.480769231,6.769230769,"full",0.428846154,1,1,1,0.428846154,0.428846154,0.428846154,1,0.428846154,"bahamas"
25,0.446153846,7.153846154,"full",0.390769231,1,1,1,0.390769231,0.390769231,0.390769231,1,0.390769231,"bahamas"
26,0.411538462,7.538461538,"full",0.352692308,1,1,1,0.352692308,0.352692308,0.352692308,1,0.352692308,"bahamas"
27,0.376923077,7.923076923,"full",0.314615385,1,1,1,0.314615385,0.314615385,0.314615385,1,0.314615385,"bahamas"
28,0.342307692,8.307692308,"full",0.276538462,1,1,1,0.276538462,0.276538462,0.276538462,1,0.276538462,"bahamas"
29,0.307692308,8.692307692,"full",0.238461538,1,1,1,0.238461538,0.238461538,0.238461538,1,0.238461538,"bahamas"
30,0.273076923,9.076923077,"full",0.200384615,1,1,1,0.200384615,0.200384615,0.200384615,1,0.200384615,"bahamas"
31,0.238461538,9.461538462,"full",0.162307692,1,1,1,0.162307692,0.162307692,0.162307692,1,0.162307692,"bahamas"
32,0.203846154,9.846153846,"full",0.124230769,1,1,1,0.124230769,0.124230769,0.124230769,1,0.124230769,"bahamas"
33,0.169230769,10.23076923,"full",0.086153846,1,1,1,0.086153846,0.086153846,0.086153846,1,0.086153846,"bahamas"
34,0.134615385,10.61538462,"full",0.048076923,1,1,1,0.048076923,0.048076923,0.048076923,1,0.048076923,"bahamas"
35,0.1,11,"full",0.01,1,1,1,0.01,0.01,0.01,1,0.01,"bahamas"
0,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
1,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
2,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
3,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
4,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
5,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
6,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
7,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
8,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
9,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
10,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
11,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
12,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
13,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
14,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
15,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
16,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
17,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
18,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
19,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
20,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
21,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
22,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
23,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
24,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
25,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
26,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
27,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
28,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
29,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
30,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
31,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
32,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
33,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
34,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
35,1,1,"none",1,1,1,1,1,1,1,1,1,"barbados"
0,1,1,"full",1,1,1,1,1,1,1,1,1,"barbados"
1,1,1,"full",1,1,1,1,1,1,1,1,1,"barbados"
2,1,1,"full",1,1,1,1,1,1,1,1,1,"barbados"
3,1,1,"full",1,1,1,1,1,1,1,1,1,"barbados"
4,1,1,"full",1,1,1,1,1,1,1,1,1,"barbados"
5,1,1,"full",1,1,1,1,1,1,1,1,1,"barbados"
6,1,1,"full",1,1,1,1,1,1,1,1,1,"barbados"
7,1,1,"full",1,1,1,1,1,1,1,1,1,"barbados"
8,1,1,"full",1,1,1,1,1,1,1,1,1,"barbados"
9,1,1,"full",1,1,1,1,1,1,1,1,1,"barbados"
10,0.965384615,1.384615385,"full",0.961923077,1,1,1,0.961923077,0.961923077,0.961923077,1,0.961923077,"barbados"
11,0.930769231,1.769230769,"full",0.923846154,1,1,1,0.923846154,0.923846154,0.923846154,1,0.923846154,"barbados"
12,0.896153846,2.153846154,"full",0.885769231,1,1,1,0.885769231,0.885769231,0.885769231,1,0.885769231,"barbados"
13,0.861538462,2.538461538,"full",0.847692308,1,1,1,0.847692308,0.847692308,0.847692308,1,0.847692308,"barbados"
14,0.826923077,2.923076923,"full",0.809615385,1,1,1,0.809615385,0.809615385,0.809615385,1,0.809615385,"barbados"
15,0.792307692,3.307692308,"full",0.771538462,1,1,1,0.771538462,0.771538462,0.771538462,1,0.771538462,"barbados"
16,0.757692308,3.692307692,"full",0.733461538,1,1,1,0.733461538,0.733461538,0.733461538,1,0.733461538,"barbados"
17,0.723076923,4.076923077,"full",0.695384615,1,1,1,0.695384615,0.695384615,0.695384615,1,0.695384615,"barbados"
18,0.688461538,4.461538462,"full",0.657307692,1,1,1,0.657307692,0.657307692,0.657307692,1,0.657307692,"barbados"
19,0.653846154,4.846153846,"full",0.619230769,1,1,1,0.619230769,0.619230769,0.619230769,1,0.619230769,"barbados"
20,0.619230769,5.230769231,"full",0.581153846,1,1,1,0.581153846,0.581153846,0.581153846,1,0.581153846,"barbados"
21,0.584615385,5.615384615,"full",0.543076923,1,1,1,0.543076923,0.543076923,0.543076923,1,0.543076923,"barbados"
22,0.55,6,"full",0.505,1,1,1,0.505,0.505,0.505,1,0.505,"barbados"
23,0.515384615,6.384615385,"full",0.466923077,1,1,1,0.466923077,0.466923077,0.466923077,1,0.466923077,"barbados"
24,0.480769231,6.769230769,"full",0.428846154,1,1,1,0.428846154,0.428846154,0.428846154,1,0.428846154,"barbados"
25,0.446153846,7.153846154,"full",0.390769231,1,1,1,0.390769231,0.390769231,0.390769231,1,0.390769231,"barbados"
26,0.411538462,7.538461538,"full",0.352692308,1,1,1,0.352692308,0.352692308,0.352692308,1,0.352692308,"barbados"
27,0.376923077,7.923076923,"full",0.314615385,1,1,1,0.314615385,0.314615385,0.314615385,1,0.314615385,"barbados"
28,0.342307692,8.307692308,"full",0.276538462,1,1,1,0.276538462,0.276538462,0.276538462,1,0.276538462,"barbados"
29,0.307692308,8.692307692,"full",0.238461538,1,1,1,0.238461538,0.238461538,0.238461538,1,0.238461538,"barbados"
30,0.273076923,9.076923077,"full",0.200384615,1,1,1,0.200384615,0.200384615,0.200384615,1,0.200384615,"barbados"
31,0.238461538,9.461538462,"full",0.162307692,1,1,1,0.162307692,0.162307692,0.162307692,1,0.162307692,"barbados"
32,0.203846154,9.846153846,"full",0.124230769,1,1,1,0.124230769,0.124230769,0.124230769,1,0.124230769,"barbados"
33,0.169230769,10.23076923,"full",0.086153846,1,1,1,0.086153846,0.086153846,0.086153846,1,0.086153846,"barbados"
34,0.134615385,10.61538462,"full",0.048076923,1,1,1,0.048076923,0.048076923,0.048076923,1,0.048076923,"barbados"
35,0.1,11,"full",0.01,1,1,1,0.01,0.01,0.01,1,0.01,"barbados"
0,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
1,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
2,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
3,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
4,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
5,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
6,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
7,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
8,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
9,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
10,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
11,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
12,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
13,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
14,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
15,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
16,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
17,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
18,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
19,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
20,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
21,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
22,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
23,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
24,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
25,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
26,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
27,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
28,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
29,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
30,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
31,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
32,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
33,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
34,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
35,1,1,"none",1,1,1,1,1,1,1,1,1,"belize"
0,1,1,"full",1,1,1,1,1,1,1,1,1,"belize"
1,1,1,"full",1,1,1,1,1,1,1,1,1,"belize"
2,1,1,"full",1,1,1,1,1,1,1,1,1,"belize"
3,1,1,"full",1,1,1,1,1,1,1,1,1,"belize"
4,1,1,"full",1,1,1,1,1,1,1,1,1,"belize"
5,1,1,"full",1,1,1,1,1,1,1,1,1,"belize"
6,1,1,"full",1,1,1,1,1,1,1,1,1,"belize"
7,1,1,"full",1,1,1,1,1,1,1,1,1,"belize"
8,1,1,"full",1,1,1,1,1,1,1,1,1,"belize"
9,1,1,"full",1,1,1,1,1,1,1,1,1,"belize"
10,0.965384615,1.384615385,"full",0.961923077,1,1,1,0.961923077,0.961923077,0.961923077,1,0.961923077,"belize"
11,0.930769231,1.769230769,"full",0.923846154,1,1,1,0.923846154,0.923846154,0.923846154,1,0.923846154,"belize"
12,0.896153846,2.153846154,"full",0.885769231,1,1,1,0.885769231,0.885769231,0.885769231,1,0.885769231,"belize"
13,0.861538462,2.538461538,"full",0.847692308,1,1,1,0.847692308,0.847692308,0.847692308,1,0.847692308,"belize"
14,0.826923077,2.923076923,"full",0.809615385,1,1,1,0.809615385,0.809615385,0.809615385,1,0.809615385,"belize"
15,0.792307692,3.307692308,"full",0.771538462,1,1,1,0.771538462,0.771538462,0.771538462,1,0.771538462,"belize"
16,0.757692308,3.692307692,"full",0.733461538,1,1,1,0.733461538,0.733461538,0.733461538,1,0.733461538,"belize"
17,0.723076923,4.076923077,"full",0.695384615,1,1,1,0.695384615,0.695384615,0.695384615,1,0.695384615,"belize"
18,0.688461538,4.461538462,"full",0.657307692,1,1,1,0.657307692,0.657307692,0.657307692,1,0.657307692,"belize"
19,0.653846154,4.846153846,"full",0.619230769,1,1,1,0.619230769,0.619230769,0.619230769,1,0.619230769,"belize"
20,0.619230769,5.230769231,"full",0.581153846,1,1,1,0.581153846,0.581153846,0.581153846,1,0.581153846,"belize"
21,0.584615385,5.615384615,"full",0.543076923,1,1,1,0.543076923,0.543076923,0.543076923,1,0.543076923,"belize"
22,0.55,6,"full",0.505,1,1,1,0.505,0.505,0.505,1,0.505,"belize"
23,0.515384615,6.384615385,"full",0.466923077,1,1,1,0.466923077,0.466923077,0.466923077,1,0.466923077,"belize"
24,0.480769231,6.769230769,"full",0.428846154,1,1,1,0.428846154,0.428846154,0.428846154,1,0.428846154,"belize"
25,0.446153846,7.153846154,"full",0.390769231,1,1,1,0.390769231,0.390769231,0.390769231,1,0.390769231,"belize"
26,0.411538462,7.538461538,"full",0.352692308,1,1,1,0.352692308,0.352692308,0.352692308,1,0.352692308,"belize"
27,0.376923077,7.923076923,"full",0.314615385,1,1,1,0.314615385,0.314615385,0.314615385,1,0.314615385,"belize"
28,0.342307692,8.307692308,"full",0.276538462,1,1,1,0.276538462,0.276538462,0.276538462,1,0.276538462,"belize"
29,0.307692308,8.692307692,"full",0.238461538,1,1,1,0.238461538,0.238461538,0.238461538,1,0.238461538,"belize"
30,0.273076923,9.076923077,"full",0.200384615,1,1,1,0.200384615,0.200384615,0.200384615,1,0.200384615,"belize"
31,0.238461538,9.461538462,"full",0.162307692,1,1,1,0.162307692,0.162307692,0.162307692,1,0.162307692,"belize"
32,0.203846154,9.846153846,"full",0.124230769,1,1,1,0.124230769,0.124230769,0.124230769,1,0.124230769,"belize"
33,0.169230769,10.23076923,"full",0.086153846,1,1,1,0.086153846,0.086153846,0.086153846,1,0.086153846,"belize"
34,0.134615385,10.61538462,"full",0.048076923,1,1,1,0.048076923,0.048076923,0.048076923,1,0.048076923,"belize"
35,0.1,11,"full",0.01,1,1,1,0.01,0.01,0.01,1,0.01,"belize"
0,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
1,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
2,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
3,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
4,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
5,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
6,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
7,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
8,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
9,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
10,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
11,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
12,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
13,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
14,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
15,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
16,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
17,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
18,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
19,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
20,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
21,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
22,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
23,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
24,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
25,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
26,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
27,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
28,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
29,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
30,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
31,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
32,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
33,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
34,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
35,1,1,"none",1,1,1,1,1,1,1,1,1,"bolivia"
