strategy,strategy_code,transformation_code,include,include_variant,test_id_variant_suffix,comparison_id_variant,cb_function,test_id,comparison_id,difference_variable,multiplier,multiplier.unit,annual.change,output_variable_name,output_display_name,sum,natural.multiplier.units,display_notes,internal_notes
TRNS: Fuel switch maritime,TRNS:FUEL_SWITCH_MARITIME,TX:TRNS:FUEL_SWITCH_MARITIME,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_scale_variable_in_strategy,TRNS:FUEL_SWITCH_MARITIME,BASE,mass_distance_traveled_trns_mt_km_water_borne,-0.0005,$/mtkm,1,technical_cost_fuel_switch_maritime,Fuel Switching Maritime Cost,0,$0.0003/MTKM,"Carlo et al. (2020) estimate that decarbonizing the maritime industry (using ammonia as the primary fuel) by 2050 will cost roughly $1 trillion, with 55% of that cost associated with ammonia production and storage and ship-related investments (Krantz et al, 2020). (45% of the cost is associated with hydrogen production, which we account for in energy production.) They also estimate a total demand of approximately 500,000 billion ton-nautical miles of demand. We use this data to approximate a cost per MT-KM of demand and adjust to LAC.",
TRNS: Fuel switch medium duty road transport,TRNS:FUEL_SWITCH_MEDIUM_DUTY,TX:TRNS:FUEL_SWITCH_MEDIUM_DUTY,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_MEDIUM_DUTY,BASE,vehicle_distance_traveled_trns_road_heavy_*_electricity|vehicle_distance_traveled_trns_public*electricity,-0.042,$/vkm,0.9,technical_cost_electrification_HDV_vehicle,EV Vehicle Cost,0,$0.042/km,"Burke et al. (2022) provide marginal capital and maintenance costs of a variety of medium and heavy duty BEVs versus ICEs (Table 19a, p. 50), and the cost of charging infrastructure (p.22). Using a stated 12-year lifetime, we calculate a simple average of these costs across all vehicle types. Costs are then adjusted to 2019 costs for LAC.",
TRNS: Fuel switch medium duty road transport,TRNS:FUEL_SWITCH_MEDIUM_DUTY,TX:TRNS:FUEL_SWITCH_MEDIUM_DUTY,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_MEDIUM_DUTY,BASE,vehicle_distance_traveled_trns_road_heavy_*_electricity|vehicle_distance_traveled_trns_public*electricity,0.02,$/vkm,0.9,savings_maintenance_electrify_HDV,EV Maintenance,0,$0.02/km,"Burke et al. (2022) provide marginal capital and maintenance costs of a variety of medium and heavy duty BEVs versus ICEs (Table 19a, p. 50), and the cost of charging infrastructure (p.22). Using a stated 12-year lifetime, we calculate a simple average of these costs across all vehicle types. Costs are then adjusted to 2019 costs for LAC.",
TRNS: Fuel switch medium duty road transport,TRNS:FUEL_SWITCH_MEDIUM_DUTY,TX:TRNS:FUEL_SWITCH_MEDIUM_DUTY,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_MEDIUM_DUTY,BASE,energy_consumption_trns_road_heavy_*_electricity|energy_consumption_trns_public*electricity,-3177614,$/PJ,1,technical_cost_electrification_HDV_charger,EV Charger Cost,0,$0.011/kwh,"Burke et al. (2022) provide marginal capital and maintenance costs of a variety of medium and heavy duty BEVs versus ICEs (Table 19a, p. 50), and the cost of charging infrastructure (p.22). Using a stated 12-year lifetime, we calculate a simple average of these costs across all vehicle types. Costs are then adjusted to 2019 costs for LAC.",
TRNS: Increase occupancy for private vehicles,TRNS:INC_OCCUPANCY,TX:TRNS:INC_OCCUPANCY,0,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,TRNS:INC_OCCUPANCY,BASE,,,,,,,,,There are no technical costs associated with increasing private vehicle occupancy.,
TRNS: Increase transportation electricity energy efficiency,TRNS:INC_EFFICIENCY_ELEC,TX:TRNS:INC_EFFICIENCY_ELEC,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,TRNS:INC_EFFICIENCY_ELEC,BASE,energy_consumption_trns_total,-880000,$/PJ,1,technical_cost_energy_efficiency_electricity,Cost of increasing energy efficiency (electricity),0,$0.88M/PJ,"The National Research Council (2015) estimates the technical cost and percent fuel economy improvements for light duty vehicles from a wide range of vehicle technologies, including power train, accessories, and vehicle mass. We estimate the average cost per improvement across all technologies and calculate a per-km cost assuming a 12-year vehicle lifetime and 15,000 km/year use. Assuming a fuel economy of 12km/l, we calculate a cost per unit of energy saved and, in the absence of other data, apply this to other modes and fuel types.",
TRNS: Increase transportation non-electricity energy efficiency,TRNS:INC_EFFICIENCY_NON_ELEC,TX:TRNS:INC_EFFICIENCY_NON_ELEC,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,TRNS:INC_EFFICIENCY_NON_ELEC,BASE,energy_consumption_trns_total,-880000,$/PJ,1,technical_cost_energy_efficiency_non_electricity,Cost of increasing energy efficiency (non-electricity),0,$0.88M/PJ,"The National Research Council (2015) estimates the technical cost and percent fuel economy improvements for light duty vehicles from a wide range of vehicle technologies, including power train, accessories, and vehicle mass. We estimate the average cost per improvement across all technologies and calculate a per-km cost assuming a 12-year vehicle lifetime and 15,000 km/year use. Assuming a fuel economy of 12km/l, we calculate a cost per unit of energy saved and, in the absence of other data, apply this to other modes and fuel types.",
TRNS: Mode shift freight,TRNS:MODE_SHIFT_FREIGHT,TX:TRNS:MODE_SHIFT_FREIGHT,0,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,TRNS:MODE_SHIFT_FREIGHT,BASE,,,,1,,,,,The cost of this transformation is calculated as the system cost of providing transport,
TRNS: Mode shift passenger vehicles to others,TRNS:MODE_SHIFT_PASSENGER,TX:TRNS:MODE_SHIFT_PASSENGER,0,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,TRNS:MODE_SHIFT_PASSENGER,BASE,,,,,,,,,The cost of this transformation is calculated as the system cost of providing transport,
TRNS: Mode shift regional passenger travel,TRNS:MODE_SHIFT_REGIONAL,TX:TRNS:MODE_SHIFT_REGIONAL,0,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,TRNS:MODE_SHIFT_REGIONAL,BASE,,,,,,,,,The cost of this transformation is calculated as the system cost of providing transport,
TRNS: Reduce demand for transport,TRNS:DEC_DEMAND,TX:TRNS:DEC_DEMAND,0,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_economic_effect_of_reduced_transport_demand,TRNS:DEC_DEMAND,BASE,dem_trde_private_and_public_passenger_km,-0.07,% of GDP,,economic_cost_transport_demand_reduction,Economic cost of reducing transport demand,,,"The economic cost of reducing the demand for transport depends greatly on the underlying reasons for this reduction (Ecola and Wachs, 2012) and the extent to which transport growth is decoupled from economic growth. In LAC, transport is responsible on average for 7% of GDP (Timmer et al., 2015). More efficient travel, better urban planning, or changes in consumer preferences, may result in reduced travel with no cost to economic development. On the other hand, particularly if such change is forced by circumstance (e.g., pandemic) it may be very costly. We treat this cost as deeply uncertain.",
SCOE: Increase appliance efficiency,SCOE:INC_EFFICIENCY_APPLIANCE,TX:SCOE:INC_EFFICIENCY_APPLIANCE,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,SCOE:INC_EFFICIENCY_APPLIANCE,BASE,energy_consumption_scoe_total,-5560000,$/PJ,1,technical_cost,Cost of building appliance efficiency,0,$0.02/kwh,"Perry et al. (2019, p. 17) estimate the costs in 2018 dollars of reducing building energy demands through a variety of energy efficiency measures in the US (for the purposes of comparing them to the costs of installing solar PV). We adjust the average cost effectiveness of $0.04/kWh saed for LAC.",
"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc.",SCOE:FUEL_SWITCH_HEAT,TX:SCOE:FUEL_SWITCH_HEAT,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,SCOE:FUEL_SWITCH_HEAT,BASE,energy_consumption_scoe_total,-463333.3333,$/PJ,0.8871931,technical_cost,Cost of building heat pumps,0,$5/MWh thermal demand,"We use the same cost data as for low-temperature heat pumps use in industrial energy. Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented).",
"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc.",SCOE:FUEL_SWITCH_HEAT,TX:SCOE:FUEL_SWITCH_HEAT,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,SCOE:FUEL_SWITCH_HEAT,BASE,energy_consumption_scoe_total,-83400,$/PJ,1,technical_savings,Maintenance savings of building heat pumps,0,$0.90/MWh thermal demand,"We use the same cost data as for low-temperature heat pumps use in industrial energy. Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented).",
SCOE: Reduce end-use demand for heat energy by improving building shell,SOCE:DEC_DEMAND_HEAT,TX:SOCE:DEC_DEMAND_HEAT,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,SOCE:DEC_DEMAND_HEAT,BASE,energy_consumption_scoe_total,-5560000,$/PJ,1,technical_cost,Cost of building shell efficiency,0,$0.02/kwh,"Perry et al. (2019, p. 17) estimate the costs in 2018 dollars of reducing building energy demands through a variety of energy efficiency measures in the US (for the purposes of comparing them to the costs of installing solar PV). We adjust the average cost effectiveness of $0.04/kWh saed for LAC.",
ENTC: Reduce transmission losses,ENTC:REDUCE_LOSSES,TX:ENTC:REDUCE_LOSSES,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_entc_reduce_losses,ENTC:REDUCE_LOSSES,BASE,energy_consumption_inen_total,,,,technical_cost_electricity_loss_reduction,Cost of reducing electricity transmission losses,0,Varies by country,"The IDB (Brichettei et al., 2021) estimate the cost between 2020 and 2030 of upgrading each country’s grid to meet SDGs to 2030. We use a simple annual average as an approximation of the annual cost of upgrades in each country that would yield reductions in transmission losses.  ",
IPPU: Reduce cement clinker,IPPU:DEC_CLINKER,TX:IPPU:DEC_CLINKER,1,,,,cb_ippu_clinker,IPPU:DEC_CLINKER,BASE,prod_ippu_cement_tonne,-47,$/ton cement,1,technical_savings_avoided_clinker,Savings from avoided clinker cost,0,$47/ton cement,"Leming et al. (2017) estimate that a ton of fly ash costs roughly 1/3 of a ton of cement, though more fly ash may be needed to replace an equivalent amount of clinker to achieve the same physical properties. We estimate therefore that each ton of substitution results in 50% savings in the cost of cement, which was approximately $94/ton in LAC in 2019 (Sindicato Nacional da Indústria do Cimento, 2022).",The difference variable in this row is a dummy variable
IPPU: Reduce fluorinated gasses bundle,IPPU:BUNDLE_DEC_FGAS,TX:IPPU:BUNDLE_DEC_FGAS,1,,,,cb_ippu_florinated_gases,IPPU:BUNDLE_DEC_FGAS,BASE,emission_co2e_hfcs_ippu_production_electronics,63,$/ton CO2e,1,technical_cost_abating_florinated_gasses,Cost of abating PFCs,0,$63/ton CO2e,"The EPA (2019, undated) estimates that approximately 85% abatement of F-gases in Brazil, Argentina, and Venezuela (the three largest emitters in LAC) an occur at a cost of less than $100 per tCO2e by 2050, in 2010 dollars. We use a weighted average to account for abatement that can occur at no cost and adjust to LAC in 2019 dollars.",The difference variable in this row is a dummy variable
IPPU: Reduce Nitrous Oxide emissions,IPPU:DEC_N2O,TX:IPPU:DEC_N2O,1,,,,cb_difference_between_two_strategies,IPPU:DEC_N2O,BASE,emission_co2e_n2o_ippu_production_chemicals,-13,$/ton CO2e,1,technical_cost_abating_n2o_chemical_production,Cost of abating N2O in chemical prouduction,1,$13/ton CO2e,"We use data in EPA (2019, Table 5-10) to estimate an undiscounted abatement cost of $38/ton of adipic acid and $3/ton of nitric acid
approximates (in the US in 2010 dollars). Use an average of these costs and adjust to LAC 2019 USD.",
IPPU: Reduce other fluorinated compounds,IPPU:DEC_OTHER_FCS,TX:IPPU:DEC_OTHER_FCS,1,,,,cb_ippu_florinated_gases,IPPU:DEC_OTHER_FCS,BASE,emission_co2e_hfcs_ippu_production_electronics,63,$/ton CO2e,1,technical_cost_abating_other_florinated_gases,Cost of abating PFCs,0,$63/ton CO2e,"The EPA (2019, undated) estimates that approximately 85% abatement of F-gases in Brazil, Argentina, and Venezuela (the three largest emitters in LAC) an occur at a cost of less than $100 per tCO2e by 2050, in 2010 dollars. We use a weighted average to account for abatement that can occur at no cost and adjust to LAC in 2019 dollars.",The difference variable in this row is a dummy variable
IPPU: Reduce use of HFCs,IPPU:DEC_HFCS,TX:IPPU:DEC_HFCS,1,,,,cb_ippu_florinated_gases,IPPU:DEC_HFCS,BASE,emission_co2e_hfcs_ippu_production_electronics,63,$/ton CO2e,1,technical_cost_abating_HFCS,Cost of abating PFCs,0,$63/ton CO2e,"The EPA (2019, undated) estimates that approximately 85% abatement of F-gases in Brazil, Argentina, and Venezuela (the three largest emitters in LAC) an occur at a cost of less than $100 per tCO2e by 2050, in 2010 dollars. We use a weighted average to account for abatement that can occur at no cost and adjust to LAC in 2019 dollars.",The difference variable in this row is a dummy variable
IPPU: Reduce use of PFCs,IPPU:DEC_PFCS,TX:IPPU:DEC_PFCS,1,,,,cb_ippu_florinated_gases,IPPU:DEC_PFCS,BASE,emission_co2e_hfcs_ippu_production_electronics,63,$/ton CO2e,1,technical_cost_abating_PFCS,Cost of abating PFCs,0,$63/ton CO2e,"The EPA (2019, undated) estimates that approximately 85% abatement of F-gases in Brazil, Argentina, and Venezuela (the three largest emitters in LAC) an occur at a cost of less than $100 per tCO2e by 2050, in 2010 dollars. We use a weighted average to account for abatement that can occur at no cost and adjust to LAC in 2019 dollars.",The difference variable in this row is a dummy variable
FGTV: Maximize flaring,FGTV:INC_FLARE,TX:FGTV:INC_FLARE,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,FGTV:INC_FLARE,BASE,emission_co2e_subsector_total_fgtv,2,$/ton CO2e,1,technical_cost_flaring_fugitive_emissions,Cost of abating fugitive emissions (flaring),0,$2/ton CO2e,We assume flaring will cost 1/10th of fixing of leaks.,
FGTV: Minimize leaks,FGTV:DEC_LEAKS,TX:FGTV:DEC_LEAKS,1,,,,cb_difference_between_two_strategies,FGTV:DEC_LEAKS,BASE,emission_co2e_subsector_total_fgtv,20,$/ton CO2e,1,technical_cost_minimizing_leaks_fugitive_emissions,Cost of abating fugitive emissions (minimizing leaks),0,$20/ton CO2e,"Studies suggest that fugitive emissions could be abated at a cost of less than $14/tCO2e in the United States’ oil and gas industry through a variety of technologies (ICF International, 2014, Figures A-4 and A-5). We use a conservative estimate by this measure given variations in discount rates, assumptions about the price of methane, etc.",
WASO: Waste reduction,WASO:DEC_MSW_PER_CAPITA,TX:WASO:DEC_MSW_PER_CAPITA,1,,,,cb_waso_waste_reduction_technical_costs,WASO:DEC_MSW_PER_CAPITA,BASE,qty_waso_total_*_tonne,200,$/ton waste avoided,1,technical_cost_avoiding_waste,Cost of avoiding waste in waste stream,0,$20/ton food waste and $200/ton of other waste,"These costs are based on the per-ton costs of reducing food waste in the United States found in the appendix of ReFED (2016). Here, the range represents the cost of the top three consumer-facing food waste prevention interventions adjusted to 2020 dollars (consumer education [$40/ton], standardized date labeling [$15/ton], and changing produce specifications [$455/ton]), adjusted to LAC 2019 dollars. In the absence of other data, we assume that reducing the presence of non-food waste in the waste stream could be up to ten times more expensive, given that it requires the use of different materials and technology at the producer level.",
WASO: Waste reduction,WASO:DEC_MSW_PER_CAPITA,TX:WASO:DEC_MSW_PER_CAPITA,1,,,,cb_waso_waste_reduction_technical_costs,WASO:DEC_MSW_PER_CAPITA,BASE,qty_waso_total_*_tonne,-250,$/ton waste avoided,1,savings_consumer_avoided_waste,Benefit to consumers of avoiding waste in waste stream,0,$3100/ton food waste and $260/ton of other waste,ReFED (2016) notes a $2.50 value of a pound of food in the U.S which we adjust to LAC and 2019 dollars. We use a conservative range of the value of other expenditures consumers could avoid. The low end of the range corresponds to the value of one ton of lower-value material such as paper or cardboard.,
CCSQ: Increase direct air capture,CCSQ:INCREASE_CAPTURE,TX:CCSQ:INCREASE_CAPTURE,1,,,,cb_difference_between_two_strategies,CCSQ:INCREASE_CAPTURE,BASE,emission_co2e_subsector_total_ccsq,500,$/ton CO2e,0.96,technical_cost_direct_air_capture,Cost of direct air capture,0,$500/ton captured,"Costs of direct air capture can range from $250-600 and are expected to decline (Ozkan et al., 2022).",
LVST: Reduce enteric fermentation,LVST:DEC_ENTERIC_FERMENTATION,TX:LVST:DEC_ENTERIC_FERMENTATION,1,,,,cb_lvst_enteric,LVST:DEC_ENTERIC_FERMENTATION,BASE,pop_lvst_*,-40,$/head,1,technical_cost_enteric_mgmt_,Cost of enteric fermentation,0,$40/head,"The cost of reduced enteric fermentation is taken as the range of costs in Table 5-59 in EPA (2019) for fermentation inhibitors, and the nominal value is the average of that range. McKinsey (2020) reports breed change as a no-cost transformation. The costs of enteric fermentation inhibitors are converted from 2010 to 2019 dollars and adjusted to LAC.",
AGRC: Improve rice management,AGRC:DEC_CH4_RICE,TX:AGRC:DEC_CH4_RICE,1,,,,cb_agrc_rice_mgmt,AGRC:DEC_CH4_RICE,BASE,area_agrc_crops_rice,-31,$/acre,1,technical_cost_rice_management,Cost of better rice management,0,-$31/ha rice managed,"Chakraborty et al. (2017, Supplementary Table S8) describe the difference in costs for these practices globally, which we adapt here, adjusting from 2017 to 2019 dollars.",
AGRC: Reduce supply chain losses,AGRC:DEC_LOSSES_SUPPLY_CHAIN,TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN,1,,PLUR,BASE:PLUR,cb_difference_between_two_strategies,AGRC:DEC_LOSSES_SUPPLY_CHAIN,BASE,qty_agrc_total_food_produced_lost_tonne,680,$/ton,1,technical_cost_avoiding_producer_food_waste,Cost of avoiding waste (food production),0,$680/ton,"Costs are based on the per-ton costs of reducing food waste in the United States found in the appendix of ReFED (2016). Here, the range represents the cost of the top three supply chain food waste prevention interventions adjusted to 2019 dollars in LAC ",
AGRC: Reduce supply chain losses,AGRC:DEC_LOSSES_SUPPLY_CHAIN,TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN,1,,PLUR,BASE:PLUR,cb_difference_between_two_strategies,AGRC:DEC_LOSSES_SUPPLY_CHAIN,BASE,qty_agrc_total_food_produced_lost_tonne,-1700,$/ton,1,savings_value_avoiding_producer_food_waste,"Saving from avoided waste (agriculture, producers)",0,$1700 saved/ton,"Food waste occurs across product types, and without specific information on the types of food that are wasted and have recovery potential in the supply chain, we use a composite value per ton of food reaching market based on ReFED (2016) and adapted to LAC.",
AGRC: Improve crop productivity,AGRC:INC_PRODUCTIVITY,TX:AGRC:INC_PRODUCTIVITY,1,,PLUR,BASE:PLUR,cb_agrc_lvst_productivity,AGRC:INC_PRODUCTIVITY,BASE,gdp_mmm_usd,0,$,1,technical_cost_productivity_agrc,Cost of increasing productivity (agriculture),0,Varies by country,"This is deeply uncertain. As an initial estimate, we use the average annual investment in agriculture and livestock R&D in OECD countries, as a fraction of GDP. We use that fraction for OECD countries in LAC; for others, we increase that fraction by 20% to account for less developed economies.",
LVST: Increase livestock productivity,LVST:INC_PRODUCTIVITY,TX:LVST:INC_PRODUCTIVITY,1,,PLUR,BASE:PLUR,cb_agrc_lvst_productivity,LVST:INC_PRODUCTIVITY,BASE,gdp_mmm_usd,1,$,1,technical_cost_productivity_lvst,Cost of increasing productivity (livestock),0,Varies by country,"This is deeply uncertain. As an initial estimate, we use the average annual investment in agriculture and livestock R&D in OECD countries, as a fraction of GDP. We use that fraction for OECD countries in LAC; for others, we increase that fraction by 20% to account for less developed economies.",
PFLO: Healthier diets,PFLO:BETTER_DIETS,TX:PFLO:BETTER_DIETS,1,,PLUR,BASE:PLUR,cb_pflo_healthier_diets,PFLO:BETTER_DIETS,BASE,population_gnrl_urban,1000,$/person with better diet,1,health_savings_better_diet,Savings from healthier diets (health),0,$1000/person,"The health benefits, which include savings from avoided indirect and direct healthcare costs and reclaimed labor productivity, of a dietary change is calculated based on the aggregate annual health benefits defined in Springmann et al. (2016) for LAC using various valuation methods, divided by the population in LAC. ",
